ISIN;Coupon;MaturityDate;IssueDate;Price;;;;;
CA135087H565;1.25;01.02.20;15.01.20;99.96;Only Commerzbank Exchange available;;;;
CA135087H565;1.25;01.02.20;14.01.20;99.96;Only Commerzbank Exchange available;;;;
CA135087H565;1.25;01.02.20;13.01.20;99.96;Only Commerzbank Exchange available;;;;
CA135087H565;1.25;01.02.20;10.01.20;99.96;Only Commerzbank Exchange available;;;;
CA135087H565;1.25;01.02.20;09.01.20;99.96;Only Commerzbank Exchange available;;;;
CA135087H565;1.25;01.02.20;08.01.20;99.95;Only Commerzbank Exchange available;;;;
CA135087H565;1.25;01.02.20;07.01.20;99.95;Only Commerzbank Exchange available;;;;
CA135087H565;1.25;01.02.20;06.01.20;99.95;Only Commerzbank Exchange available;;;;
CA135087H565;1.25;01.02.20;03.01.20;99.95;Only Commerzbank Exchange available;;;;
CA135087H565;1.25;01.02.20;02.01.20;99.95;Only Commerzbank Exchange available;;;;
CA135087D929;1.5;01.03.20;15.01.20;99.86;;;;;
CA135087D929;1.5;01.03.20;14.01.20;99.86;;;;;
CA135087D929;1.5;01.03.20;13.01.20;99.86;;;;;
CA135087D929;1.5;01.03.20;10.01.20;99.86;;;;;
CA135087D929;1.5;01.03.20;09.01.20;99.86;;;;;
CA135087D929;1.5;01.03.20;08.01.20;99.86;;;;;
CA135087D929;1.5;01.03.20;07.01.20;99.86;;;;;
CA135087D929;1.5;01.03.20;06.01.20;99.86;;;;;
CA135087D929;1.5;01.03.20;03.01.20;99.86;;;;;
CA135087D929;1.5;01.03.20;02.01.20;99.85;;;;;
CA135087YZ11;3.5;01.06.20;15.01.20;100.64;;;;;
CA135087YZ11;3.5;01.06.20;14.01.20;100.64;;;;;
CA135087YZ11;3.5;01.06.20;13.01.20;100.65;;;;;
CA135087YZ11;3.5;01.06.20;10.01.20;100.65;;;;;
CA135087YZ11;3.5;01.06.20;09.01.20;100.66;;;;;
CA135087YZ11;3.5;01.06.20;08.01.20;100.68;;;;;
CA135087YZ11;3.5;01.06.20;07.01.20;100.69;;;;;
CA135087YZ11;3.5;01.06.20;06.01.20;100.69;;;;;
CA135087YZ11;3.5;01.06.20;03.01.20;100.7;;;;;
CA135087YZ11;3.5;01.06.20;02.01.20;100.7;;;;;
CA135087E596;0.75;01.09.20;15.01.20;99.3;;;;;
CA135087E596;0.75;01.09.20;14.01.20;99.28;;;;;
CA135087E596;0.75;01.09.20;13.01.20;99.27;;;;;
CA135087E596;0.75;01.09.20;10.01.20;99.28;;;;;
CA135087E596;0.75;01.09.20;09.01.20;99.28;;;;;
CA135087E596;0.75;01.09.20;08.01.20;99.28;;;;;
CA135087E596;0.75;01.09.20;07.01.20;99.27;;;;;
CA135087E596;0.75;01.09.20;06.01.20;99.28;;;;;
CA135087E596;0.75;01.09.20;03.01.20;99.28;;;;;
